,,,,,,,,,,,,
 ,All Sites,Level 0 Main,Level 1 Main, Level 1 Side,Level 2 Main,University Link,School,University,weekday/end,event,,
2016-05-10,4157,2827,136,38,1156,2442,1,1,0,0,,
2016-05-11,3660,2557,275,56,772,2097,1,1,1,0,,
2016-05-12,4407,3024,185,23,1175,2404,1,1,1,0,,
2016-05-13,3548,2519,78,161,790,1584,1,1,1,0,,
2016-05-14,1591,1091,33,159,308,433,1,1,1,0,,
2016-05-15,869,577,9,62,221,426,1,1,1,0,,
2016-05-16,3774,2659,45,115,955,2145,1,1,0,0,,
2016-05-17,4161,2792,149,86,1134,2381,1,1,0,0,,
2016-05-18,3297,2288,90,22,897,1914,1,1,1,0,,
2016-05-19,3710,2508,127,21,1054,2313,1,1,1,0,,
2016-05-20,3068,2177,106,17,768,1385,1,0,1,0,,
2016-05-21,1629,1059,174,73,323,362,1,0,1,0,,
2016-05-22,1125,733,84,22,286,360,1,0,1,0,,
2016-05-23,3432,2292,135,32,973,1815,1,0,0,0,,
2016-05-24,3407,2329,161,25,892,1686,1,0,0,0,,
2016-05-25,3134,2132,209,30,763,1553,1,0,1,1,,
2016-05-26,2872,1976,155,23,718,1355,1,0,1,1,,
2016-05-27,2545,1825,111,25,584,1041,1,0,1,0,,
2016-05-28,1012,677,116,21,198,226,0,0,1,0,,
2016-05-29,699,481,52,7,159,166,0,0,1,0,,
2016-05-30,1024,616,95,25,288,1,0,0,0,1,,
2016-05-31,2796,1905,157,28,706,1207,0,0,0,1,,
2016-06-01,2703,1657,243,28,775,789,0,0,1,1,,
2016-06-02,2457,1611,160,22,664,786,0,0,1,1,,
2016-06-03,2513,1730,222,42,519,943,0,0,1,1,,
2016-06-04,1190,747,210,21,212,137,0,0,1,1,,
2016-06-05,906,671,96,16,123,68,0,0,1,0,,
2016-06-06,2005,1450,135,30,390,706,1,0,0,0,,
2016-06-07,2064,1530,108,50,376,640,1,0,0,0,,
2016-06-08,2126,1582,129,44,371,723,1,0,1,0,,
2016-06-09,2001,1459,120,25,397,694,1,0,1,0,,
2016-06-10,2253,1728,166,18,341,604,1,0,1,1,,
2016-06-11,5149,3450,1193,65,441,1234,1,0,1,0,,
2016-06-12,782,422,97,40,223,134,1,0,1,0,,
2016-06-13,2062,1455,150,43,414,691,1,0,0,0,,
2016-06-14,2374,1625,160,71,518,658,1,0,0,0,,
2016-06-15,2487,1684,133,40,630,830,1,0,1,0,,
2016-06-16,2071,1504,111,32,424,639,1,0,1,0,,
2016-06-17,1838,1347,113,25,353,571,1,0,1,0,,
2016-06-18,1186,756,167,53,210,138,1,0,1,0,,
2016-06-19,655,416,98,12,129,50,1,0,1,0,,
2016-06-20,2010,1403,142,30,435,526,1,0,0,0,,
2016-06-21,1940,1431,113,21,375,536,1,0,0,0,,
2016-06-22,1947,1449,115,27,356,586,1,0,1,0,,
2016-06-23,2396,1854,136,24,382,585,1,0,1,0,,
2016-06-24,1586,1195,112,14,265,416,1,0,1,0,,
2016-06-25,1467,960,174,139,194,100,1,0,1,0,,
2016-06-26,951,531,115,136,169,1,1,0,1,0,,
2016-06-27,1848,1197,172,153,326,557,1,0,0,0,,
2016-06-28,2677,1840,291,47,499,748,1,0,0,1,,
2016-06-29,1596,1069,85,43,399,569,1,0,1,0,,
2016-06-30,1820,1252,144,50,374,570,1,0,1,0,,
2016-07-01,1488,1077,79,17,315,468,1,0,1,0,,
2016-07-02,1461,1041,166,14,240,250,1,0,1,0,,
2016-07-03,565,398,68,13,86,0,1,0,1,0,,
2016-07-04,1942,1494,88,31,329,584,1,0,0,0,,
2016-07-05,1610,1122,108,28,352,559,1,0,0,0,,
2016-07-06,1610,1178,118,19,295,438,1,0,1,0,,
2016-07-07,2024,1479,139,23,383,666,1,0,1,0,,
2016-07-08,1531,1113,89,25,304,419,1,0,1,0,,
2016-07-09,1268,857,141,23,247,79,1,0,1,0,,
2016-07-10,748,541,36,16,155,0,1,0,1,0,,
2016-07-11,2086,1505,117,52,412,799,1,0,0,1,,
2016-07-12,2019,1371,160,59,429,602,1,0,0,1,,
2016-07-13,2273,1458,325,38,452,568,1,0,1,1,,
2016-07-14,1848,1414,107,44,283,523,1,0,1,1,,
2016-07-15,1416,1072,54,36,254,461,1,0,1,1,,
2016-07-16,900,658,77,35,130,55,1,0,1,1,,
2016-07-17,605,467,50,8,80,0,1,0,1,1,,
2016-07-18,1654,1216,72,33,333,696,1,0,0,1,,
2016-07-19,1755,1176,128,38,413,550,1,0,0,1,,
2016-07-20,2179,1585,137,28,429,681,1,0,1,1,,
2016-07-21,2185,1674,100,24,387,808,1,0,1,1,,
2016-07-22,1611,1152,106,22,331,544,1,0,1,1,,
2016-07-23,932,772,60,9,91,75,0,0,1,1,,
2016-07-24,686,525,49,17,95,0,0,0,1,1,,
2016-07-25,1768,1200,99,31,438,694,0,0,0,1,,
2016-07-26,1893,1261,135,38,459,722,0,0,0,1,,
2016-07-27,2079,1308,109,36,626,697,0,0,1,1,,
2016-07-28,1931,1173,166,33,559,571,0,0,1,1,,
2016-07-29,1715,1131,163,18,403,544,0,0,1,1,,
2016-07-30,690,520,50,22,98,68,0,0,1,1,,
2016-07-31,529,375,36,18,100,0,0,0,1,1,,
2016-08-01,1969,1392,107,43,427,556,0,0,0,1,,
2016-08-02,1949,1165,125,43,616,576,0,0,0,1,,
2016-08-03,1801,1204,111,34,452,515,0,0,1,1,,
2016-08-04,1657,1128,139,30,360,450,0,0,1,1,,
2016-08-05,1682,1169,136,20,357,459,0,0,1,1,,
2016-08-06,798,618,55,10,115,82,0,0,1,1,,
2016-08-07,563,369,70,15,109,0,0,0,1,1,,
2016-08-08,1332,939,104,23,266,425,0,0,0,1,,
2016-08-09,1641,1094,95,36,416,446,0,0,0,1,,
2016-08-10,1605,1020,160,53,372,401,0,0,1,1,,
2016-08-11,1351,873,90,32,356,358,0,0,1,1,,
2016-08-12,1369,915,93,35,326,318,0,0,1,1,,
2016-08-13,861,596,56,21,188,48,0,0,1,1,,
2016-08-14,585,366,94,20,105,9,0,0,1,1,,
2016-08-15,1467,974,140,41,312,426,0,0,0,1,,
2016-08-16,1523,1059,134,25,305,414,0,0,0,1,,
2016-08-17,1601,1139,129,44,289,491,0,0,1,1,,
2016-08-18,1371,948,95,33,295,379,0,0,1,1,,
2016-08-19,1761,999,116,51,595,353,0,0,1,1,,
2016-08-20,1327,753,127,26,421,119,0,0,1,1,,
2016-08-21,743,399,106,18,220,0,0,0,1,1,,
2016-08-22,1814,1006,239,121,448,462,0,0,0,1,,
2016-08-23,1743,1157,154,49,383,445,0,0,0,1,,
2016-08-24,2301,1547,241,42,471,662,0,0,1,1,,
2016-08-25,1852,1135,56,153,508,465,0,0,1,1,,
2016-08-26,1652,1088,156,59,349,396,0,0,1,1,,
2016-08-27,1129,714,98,23,294,72,0,0,1,1,,
2016-08-28,947,513,118,30,286,0,0,0,1,1,,
2016-08-29,954,638,109,19,188,1,0,0,0,1,,
2016-08-30,1745,1216,163,32,334,494,0,0,0,1,,
2016-08-31,1926,1249,189,71,417,441,0,0,1,1,,
2016-09-01,1931,1276,178,69,408,417,0,0,1,1,,
2016-09-02,1782,1195,157,66,364,277,0,0,1,1,,
2016-09-03,1373,782,236,35,320,52,0,0,1,1,,
2016-09-04,596,335,130,23,108,0,0,0,1,1,,
2016-09-05,2045,1378,236,75,356,460,1,0,0,1,,
2016-09-06,1938,1358,199,46,335,504,1,0,0,1,,
2016-09-07,1645,1147,203,31,264,503,1,0,1,1,,
2016-09-08,2086,1458,269,54,305,573,1,0,1,1,,
2016-09-09,1978,1352,255,58,313,544,1,0,1,1,,
2016-09-10,2508,1737,420,72,279,89,1,0,1,1,,
2016-09-11,606,434,71,14,87,0,1,0,1,1,,
2016-09-12,1816,1322,125,34,335,745,1,0,0,1,,
2016-09-13,2208,1604,156,56,392,543,1,0,0,1,,
2016-09-14,2178,1564,136,40,438,618,1,0,1,0,,
2016-09-15,2000,1391,156,55,398,591,1,0,1,0,,
2016-09-16,1998,1377,147,40,434,562,1,0,1,0,,
2016-09-17,1292,954,103,23,212,105,1,0,1,0,,
2016-09-18,1275,941,98,23,213,64,1,0,1,0,,
2016-09-19,3977,3253,210,39,475,1712,1,1,0,0,,
2016-09-20,3178,2531,228,47,372,917,1,1,0,0,,
2016-09-21,5552,4081,592,61,818,1173,1,1,1,1,,
2016-09-22,3088,2401,225,43,419,1314,1,1,1,0,,
2016-09-23,2344,1815,139,32,358,956,1,1,1,0,,
2016-09-24,3806,2712,660,39,395,167,1,1,1,1,,
2016-09-25,659,417,84,9,149,0,1,1,1,0,,
2016-09-26,5545,4316,134,60,1035,2768,1,1,0,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

